word_id,xhosa,infinitive,is_plural
599,usiba,,false
600,iintsiba,,true
601,usiba,,false
602,iintsiba,,true
603,intliziyo,,false
604,ulwandle,,false
605,molo,,false
606,sala kakuhle,,false
607,molweni,,true
608,hamba kakuhle,,false
609,ngaphantsi,,false
610,ulwandle,,false
611,imilambo,,true
612,abefundisi,,true
613,ekunxele,,false
614,ingalo,,false
615,oyika,ukoyika,false
616,uxolo,,false
617,namhla,,false
618,amasimi,,false
619,uxolo,,false
620,ingxolo,,false
621,naphi na,,false
622,nabani na,,false
623,ubuhle,,false
624,ibhegi,,false
625,yeka,ukuyeka,false
626,umgangatho,,false
627,layita,ukulayita,false
628,vuya,ukuvuya,false
629,umva,,false
630,unxweme,,false
631,ingalo,,false
632,iingalo,,true
633,iingalo,,true
634,ngxola,ukungxola,false
635,intsimi,,false
636,amasimi,,true
637,lunga,ukulunga,false
638,cima,ukucima,false
639,gula,ukugula,false
640,lamba,ukulamba,false
641,umqolo,,false
642,phaka,ukuphaka,false
643,ngasemva,,false
644,ukutya,,false
645,umculo,,false
646,okukuqala,,false
647,thuthuzela,ukuthuthuzela,false
648,cima,ukucima,false
649,layita,ukulayita,false
650,isiqalo,,false
651,ekuqaleni,,false
652,isibane,,false
653,izibane,,true
654,umfundi,,false
655,abafundi,,true
656,ekugqibeleni,,false
657,ekugqibeleni,,false
658,bi,,false
659,amagama,,true
660,igama,,false
661,inkqubo,,false
662,inkqubo,,false
663,amazwe,,true
664,ilitha,,false
665,izithili,,true
666,isizwe,,false
667,isithili,,false
668,isiqhamo,,false
669,iziqhamo,,true
670,landela,ukulandela,false
671,iliso,,false
672,amehlo,,true
673,izizwe,,true
674,isixeko,,false
675,izixeko,,true
676,ingingqi,,false
677,umgama,,false
678,ummandla,,false
679,incwadi,,false
680,imimandla,,true
681,umfino,,false
682,imifuno,,true
683,swela,ukuswela,false
684,ezantsi,,false
685,kunye,,false
686,idolophu,,false
687,inkqubo,,false
688,ulwaphulo-mthetho ,,false
689,(i)ma,ukuma,false
690,(i)ma,ukuma,false
691,isitulo,,false
692,izitulo,,true
693,ngakanani,,false
694,iqela,,false
695,amaqela,,true
696,iqela,,false
697,amaqela,,true
698,iqela lezopolitiko,,false
699,amaqela ezopolitiko,,true
700,urhulumente,,false
701,oorhulumente,,true
702,intloko,,false
703,iintloko,,true
704,igumbi,,false
705,amagumbi,,true
706,imigangatho,,true
707,iklasi,,false
708,iiklasi,,true
709,isakhiwo,,false
710,indlu yangasese,,false
711,izakhiwo,,true
712,udidi,,false
713,iindidi,,true
714,iGoli,,false
715,intolongo,,false
716,iintolongo,,true
717,umbanjwa,,false
718,ababanjwa,,true
719,hambani kakuhle,,true
720,salani kakuhle,,true
721,ngaphi,,false
722,kambe ke,,false
723,phela,ukuphela,false
724,inkwenkwe,,false
725,amakhwenkwe,,true
726,kutheni,,false
727,amanzi,,false
728,umfanekiso,,false
729,imifanekiso,,true
730,umbuzo,,false
731,imibuzo,,true
732,umhlana,,false
733,gcina,ukugcina,false
734,bamba,ukubamba,false
735,amagama,,true
736,bhomboloza,ukubhomboloza,false
737,bamba,ukubamba,false
738,igama,,false
739,izinyo,,false
740,qina,ukuqina,false
741,imvume,,false
742,icandelo,,false
743,icandelo,,false
744,amacandelo,,true
745,amacandelo,,true
746,isebe,,false
747,amasebe,,true
748,ulwimi,,false
749,amazinyo,,true
750,umhlaba,,false
751,ilitye,,false
752,amatye,,true
753,isitena,,false
754,izitena,,true
755,indlebe,,false
756,iindlebe,,true
757,igadi,,false
758,phola,ukuphola,false
759,umdlalo,,false
760,hombisa,ukuhombisa,false
761,imfundo,,false
762,bhafa,ukubhafa,false
763,qhwanyaza,ukuqhwanyaza,false
764,ngaphinde,,false
765,phoxa,ukuphoxa,false
766,isisu,,false
767,thimla,ukuthimla,false
768,unyawo,,false
769,iinyawo,,true
770,ngxamiseka,ukungxamiseka,false
771,ngokungxamisekileyo,,false
772,iincwadi,,true
773,iincwadi,,true
774,enkosi,,false
775,bulela,ukubulela,false
776,ziqhelisa,ukuziqhelisa,false
777,uhlalo lwabiwo mali,,false
778,iqabane,,false
779,amaqabane,,true
780,iqabane,,false
781,amaqabane,,true
782,ngokukhawuleza,,false
783,khohlakala,ukukhohlakala,false
784,uvavanyo,,false
785,iimvavanyo,,true
786,uvavanyo,,false
787,iimvavanyo,,true
788,uviwo,,false
789,iimviwo,,true
790,isigwebo sokufa,,false
791,banda,ukubanda,false
792,godola,ukugodola,false
793,funga,ukufunga,false
794,bhafa,ukubhafa,false
795,ala,ukwala,false
796,inyawo,,false
797,umlenze,,false
798,imilenze,,true
799,iqatha,,false
800,iqatha,,false
801,amaqatha,,true
802,amaqatha,,true
803,umnwe,,false
804,iminwe,,true
806,izisu,,true
807,igqala,,false
808,umnwe,,false
809,iminwe,,true
810,inzuzo,,false
811,umdlalo weqonga,,false
812,hluma,ukuhluma,false
813,uviwo,,false
814,ngokukhawuzela,,false
815,yonke imihla,,false
816,khala,ukukhala,false
817,khalisa,ukukhalisa,false
818,gcwalisa,ukugcwalisa,false
819,wisa,ukuwisa,false
820,qhubeka,ukuqhubeka,false
821,umsindo,,false
822,bhitya,ukubhitya,false
823,qho,,false
824,tshata,ukutshata,false
825,va,ukuva,false
826,dinwa,ukudinwa,false
827,vuka,ukuvuka,false
828,susa,ukususa,false
829,zoba,ukuzoba,false
830,intaka,,false
831,bhaka,ukubhaka,false
832,khonza,ukukhonza,false
833,ukrebe,,false
834,ookrebe,,true
835,gqibezela,ukugqibezela,false
836,phangela,ukuphangela,false
837,ingqina,,false
838,iqanda,,false
839,iintaka,,true
840,vela,ukuvela,false
841,suka,ukusuka,false
842,hlawula,ukuhlawula,false
843,betha,ukubetha,false
844,hlala,ukuhlala,false
845,themba,ukuthemba,false
846,hayi,,false
847,ubuhlwempu,,false
848,intombi,,false
849,isiphumo,,false
850,xa,,false
851,impazamo,,false
852,iimpazamo,,true
853,kamnandi,,false
854,umama,,false
855,utata,,false
856,indawo,,false
857,nini?,,false
858,ngcamla,ukungcamla,false
859,incasa,,false
860,onwaba,ukonwaba,false
861,sula,ukusula,false
862,ngapha,,false
863,irediyo,,false
864,ipen,,false
865,itshomi,,false
866,xa,,false
867,isono,,false
868,izono,,false
